_id,book_id,keyword,weight
6857b812fdb7f7924c390c20,book-1,seni hidup,0.95
6857b812fdb7f7924c390c21,book-1,stoikisme,0.92
6857b812fdb7f7924c390c22,book-1,tidak peduli omongan orang,0.88
6857b812fdb7f7924c390c23,book-1,self-help,0.9
6857b812fdb7f7924c390c24,book-1,mental health,0.87
6857b812fdb7f7924c390c25,book-2,habit,0.96
6857b812fdb7f7924c390c26,book-2,atomic,0.91
6857b812fdb7f7924c390c27,book-2,perubahan kecil,0.92
6857b812fdb7f7924c390c28,book-2,produktivitas,0.89
6857b812fdb7f7924c390c29,book-2,mindset sukses,0.88
6857b812fdb7f7924c390c2a,book-3,aktivisme mahasiswa,0.94
6857b812fdb7f7924c390c2b,book-3,orde baru,0.9
6857b812fdb7f7924c390c2c,book-3,sejarah indonesia,0.95
6857b812fdb7f7924c390c2d,book-3,laut,0.85
6857b812fdb7f7924c390c2e,book-3,hilangnya orang,0.86
6857b812fdb7f7924c390c2f,book-4,alchemist,0.95
6857b812fdb7f7924c390c30,book-4,takdir,0.91
6857b812fdb7f7924c390c31,book-4,spiritualitas,0.89
6857b812fdb7f7924c390c32,book-4,paulo coelho,0.87
6857b812fdb7f7924c390c33,book-4,petualangan diri,0.92
6857b812fdb7f7924c390c34,book-5,pengingat,0.91
6857b812fdb7f7924c390c35,book-5,kata-kata indah,0.87
6857b812fdb7f7924c390c36,book-5,gentle reminder,0.94
6857b812fdb7f7924c390c37,book-5,motivasi hidup,0.89
6857b812fdb7f7924c390c38,book-6,pendidikan,0.95
6857b812fdb7f7924c390c39,book-6,self-made,0.91
6857b812fdb7f7924c390c3a,book-6,biografi,0.88
6857b812fdb7f7924c390c3b,book-6,belajar mandiri,0.89
6857b812fdb7f7924c390c3c,book-7,cantik,0.93
6857b812fdb7f7924c390c3d,book-7,kolonialisme,0.91
6857b812fdb7f7924c390c3e,book-7,perempuan,0.94
6857b812fdb7f7924c390c3f,book-7,budaya indonesia,0.89
6857b812fdb7f7924c390c40,book-8,mata,0.86
6857b812fdb7f7924c390c41,book-8,humanisme,0.92
6857b812fdb7f7924c390c42,book-8,pendidikan jepang,0.9
6857b812fdb7f7924c390c43,book-9,amerika,0.89
6857b812fdb7f7924c390c44,book-9,depresi besar,0.91
6857b812fdb7f7924c390c45,book-9,kisah epik,0.93
6857b812fdb7f7924c390c46,book-10,hidup realistis,0.94
6857b812fdb7f7924c390c47,book-10,dari nol,0.9
6857b812fdb7f7924c390c48,book-10,bertahan hidup,0.91
6857b812fdb7f7924c390c49,book-11,public speaking,0.96
6857b812fdb7f7924c390c4a,book-11,hubungan sosial,0.89
6857b812fdb7f7924c390c4b,book-11,pengaruh,0.92
6857b812fdb7f7924c390c4c,book-12,fiksi indonesia,0.9
6857b812fdb7f7924c390c4d,book-12,humor,0.88
6857b812fdb7f7924c390c4e,book-12,tere liye,0.87
6857b812fdb7f7924c390c4f,book-13,stoikisme,0.98
6857b812fdb7f7924c390c50,book-13,filosofi teras,0.95
6857b812fdb7f7924c390c51,book-13,emosi,0.9
6857b812fdb7f7924c390c52,book-14,perpustakaan misterius,0.94
6857b812fdb7f7924c390c53,book-14,eksistensialisme,0.91
6857b812fdb7f7924c390c54,book-14,pilihan hidup,0.93
6857b812fdb7f7924c390c55,book-15,sejarah manusia,0.97
6857b812fdb7f7924c390c56,book-15,evolusi,0.91
6857b812fdb7f7924c390c57,book-15,sains sosial,0.89
6857b812fdb7f7924c390c58,book-16,dilan,0.94
6857b812fdb7f7924c390c59,book-16,bandung,0.9
6857b812fdb7f7924c390c5a,book-16,cinta remaja,0.95
6857b812fdb7f7924c390c5b,book-17,meaning of life,0.96
6857b812fdb7f7924c390c5c,book-17,logoterapi,0.93
6857b812fdb7f7924c390c5d,book-17,holocaust,0.92
6857b812fdb7f7924c390c5e,book-18,fantasi,0.94
6857b812fdb7f7924c390c5f,book-18,dunia paralel,0.9
6857b812fdb7f7924c390c60,book-18,petualangan,0.91
6857b812fdb7f7924c390c61,book-19,keuangan,0.97
6857b812fdb7f7924c390c62,book-19,mindset kaya,0.92
6857b812fdb7f7924c390c63,book-19,pengelolaan uang,0.94
6857b812fdb7f7924c390c64,book-20,psikologi,0.95
6857b812fdb7f7924c390c65,book-20,berpikir cepat lambat,0.94
6857b812fdb7f7924c390c66,book-20,bias kognitif,0.93
685bd9cba23fd5d108b969b4,book-21,Sherina,0.95
685bd9cba23fd5d108b969b5,book-21,Sadam,0.95
685bd9cba23fd5d108b969b6,book-21,petualangan,0.95
685bd9cba23fd5d108b969b7,book-21,penculikan,0.95
685bd9cba23fd5d108b969b8,book-21,detektif anak,0.95
685bd9cba23fd5d108b969b9,book-22,pondok pesantren,0.95
